CVEGEO	ola	defunciones	casos_totales	cfr
04009	02_interola_1	3	75	4
04009	03_ola_2	2	141	1.4184397163120568
04009	04_interola_2	6	78	7.6923076923076925
04009	05_ola_3	47	1125	4.177777777777778
04009	06_interola_3	1	12	8.333333333333334
04009	07_ola_4	13	542	2.3985239852398523
04010	01_ola_1	5	33	15.151515151515152
04010	02_interola_1	3	29	10.344827586206897
04010	03_ola_2	1	54	1.8518518518518519
04010	04_interola_2	2	24	8.333333333333334
04010	05_ola_3	10	345	2.898550724637681
04010	06_interola_3	0	10	0
04010	07_ola_4	1	168	0.5952380952380952
04011	01_ola_1	17	119	14.285714285714286
04011	02_interola_1	6	18	33.333333333333336
04011	03_ola_2	3	29	10.344827586206897
04011	04_interola_2	1	5	20
04011	05_ola_3	19	173	10.982658959537572
04011	06_interola_3	0	2	0
04011	07_ola_4	0	46	0
04999	01_ola_1	0	0	NA
04999	02_interola_1	0	0	NA
04999	03_ola_2	0	0	NA
04999	04_interola_2	0	1	0
04999	05_ola_3	0	1	0
04999	06_interola_3	0	0	NA
04999	07_ola_4	0	1	0
05001	01_ola_1	0	0	NA
05001	02_interola_1	0	2	0
05001	03_ola_2	1	5	20
05001	04_interola_2	0	0	NA
05001	05_ola_3	0	3	0
05001	06_interola_3	0	7	0
05001	07_ola_4	3	18	16.666666666666668
05002	01_ola_1	203	1546	13.13065976714101
05002	02_interola_1	30	417	7.1942446043165464
05002	03_ola_2	157	1314	11.948249619482496
05002	04_interola_2	5	76	6.578947368421052
05002	05_ola_3	59	946	6.236786469344609
05002	06_interola_3	12	135	8.88888888888889
05002	07_ola_4	49	1991	2.4610748367654445
05003	01_ola_1	5	173	2.8901734104046244
05003	02_interola_1	7	123	5.691056910569106
05003	03_ola_2	30	420	7.142857142857143
05003	04_interola_2	0	8	0
05003	05_ola_3	5	86	5.813953488372093
05003	06_interola_3	2	15	13.333333333333334
05003	07_ola_4	14	299	4.682274247491639
05004	01_ola_1	1	22	4.545454545454546
05004	02_interola_1	3	48	6.25
05004	03_ola_2	17	59	28.8135593220339
05004	04_interola_2	0	5	0
05004	05_ola_3	4	164	2.4390243902439024
05004	06_interola_3	1	28	3.5714285714285716
05004	07_ola_4	2	310	0.6451612903225806
05005	01_ola_1	1	1	100
05005	02_interola_1	1	6	16.666666666666668
05005	03_ola_2	0	9	0
05005	04_interola_2	0	2	0
05005	05_ola_3	1	23	4.3478260869565215
05005	06_interola_3	1	3	33.333333333333336
05005	07_ola_4	1	8	12.5
05006	01_ola_1	4	72	5.555555555555555
05006	02_interola_1	13	106	12.264150943396226
05006	03_ola_2	38	252	15.079365079365079
05006	04_interola_2	0	39	0
05006	05_ola_3	10	169	5.9171597633136095
05006	06_interola_3	3	64	4.6875
05006	07_ola_4	13	576	2.2569444444444446
05007	01_ola_1	2	73	2.73972602739726
05007	02_interola_1	2	173	1.1560693641618498
