CVEGEO	ola	dias_ola	n	pruebas_dia_promedio
06002	06_interola_3	56	6869	122.66071428571429
06002	07_ola_4	119	11095	93.23529411764706
06003	01_ola_1	105	19	0.18095238095238095
06003	02_interola_1	77	76	0.987012987012987
06003	03_ola_2	154	141	0.9155844155844156
06003	04_interola_2	77	49	0.6363636363636364
06003	05_ola_3	126	179	1.4206349206349207
06003	06_interola_3	56	205	3.6607142857142856
06003	07_ola_4	119	445	3.7394957983193278
06004	01_ola_1	105	13	0.12380952380952381
06004	02_interola_1	77	110	1.4285714285714286
06004	03_ola_2	154	177	1.1493506493506493
06004	04_interola_2	77	73	0.948051948051948
06004	05_ola_3	126	538	4.26984126984127
06004	06_interola_3	56	675	12.053571428571429
06004	07_ola_4	119	586	4.92436974789916
06005	01_ola_1	105	20	0.19047619047619047
06005	02_interola_1	77	120	1.5584415584415585
06005	03_ola_2	154	390	2.5324675324675323
06005	04_interola_2	77	193	2.5064935064935066
06005	05_ola_3	126	464	3.6825396825396823
06005	06_interola_3	56	611	10.910714285714286
06005	07_ola_4	119	1046	8.789915966386555
06006	01_ola_1	105	7	0.06666666666666667
06006	02_interola_1	77	70	0.9090909090909091
06006	03_ola_2	154	109	0.7077922077922078
06006	04_interola_2	77	13	0.16883116883116883
06006	05_ola_3	126	66	0.5238095238095238
06006	06_interola_3	56	154	2.75
06006	07_ola_4	119	130	1.0924369747899159
06007	01_ola_1	105	321	3.057142857142857
06007	02_interola_1	77	1432	18.5974025974026
06007	03_ola_2	154	2822	18.324675324675326
06007	04_interola_2	77	1408	18.285714285714285
06007	05_ola_3	126	7101	56.357142857142854
06007	06_interola_3	56	3233	57.732142857142854
06007	07_ola_4	119	6218	52.252100840336134
06008	01_ola_1	105	2	0.01904761904761905
06008	02_interola_1	77	34	0.44155844155844154
06008	03_ola_2	154	50	0.3246753246753247
06008	04_interola_2	77	37	0.4805194805194805
06008	05_ola_3	126	115	0.9126984126984127
06008	06_interola_3	56	180	3.2142857142857144
06008	07_ola_4	119	312	2.6218487394957983
06009	01_ola_1	105	150	1.4285714285714286
06009	02_interola_1	77	919	11.935064935064934
06009	03_ola_2	154	1439	9.344155844155845
06009	04_interola_2	77	565	7.337662337662338
06009	05_ola_3	126	3562	28.26984126984127
06009	06_interola_3	56	4284	76.5
06009	07_ola_4	119	3724	31.294117647058822
06010	01_ola_1	105	178	1.6952380952380952
06010	02_interola_1	77	1059	13.753246753246753
06010	03_ola_2	154	3044	19.766233766233768
06010	04_interola_2	77	1207	15.675324675324676
06010	05_ola_3	126	4619	36.65873015873016
06010	06_interola_3	56	4410	78.75
06010	07_ola_4	119	7635	64.15966386554622
06999	03_ola_2	154	2	0.012987012987012988
07001	01_ola_1	105	4	0.0380952380952381
07001	02_interola_1	77	18	0.23376623376623376
07001	03_ola_2	154	6	0.03896103896103896
07001	04_interola_2	77	13	0.16883116883116883
07001	05_ola_3	126	16	0.12698412698412698
07001	06_interola_3	56	5	0.08928571428571429
07001	07_ola_4	119	24	0.20168067226890757
07002	01_ola_1	105	18	0.17142857142857143
07002	02_interola_1	77	16	0.2077922077922078
07002	03_ola_2	154	19	0.12337662337662338
07002	04_interola_2	77	100	1.2987012987012987
07002	05_ola_3	126	15	0.11904761904761904
07002	06_interola_3	56	57	1.0178571428571428
07002	07_ola_4	119	174	1.4621848739495797
07003	01_ola_1	105	5	0.047619047619047616
07003	02_interola_1	77	10	0.12987012987012986
07003	03_ola_2	154	9	0.05844155844155844
07003	04_interola_2	77	14	0.18181818181818182
07003	05_ola_3	126	40	0.31746031746031744
07003	06_interola_3	56	13	0.23214285714285715
07003	07_ola_4	119	154	1.2941176470588236
07004	01_ola_1	105	13	0.12380952380952381
07004	02_interola_1	77	29	0.37662337662337664
07004	03_ola_2	154	21	0.13636363636363635
07004	04_interola_2	77	16	0.2077922077922078
07004	05_ola_3	126	46	0.36507936507936506
07004	06_interola_3	56	19	0.3392857142857143
07004	07_ola_4	119	68	0.5714285714285714
07005	01_ola_1	105	2	0.01904761904761905
07005	02_interola_1	77	12	0.15584415584415584
07005	03_ola_2	154	15	0.09740259740259741
07005	04_interola_2	77	53	0.6883116883116883
07005	05_ola_3	126	27	0.21428571428571427
07005	06_interola_3	56	35	0.625
07005	07_ola_4	119	52	0.4369747899159664
07006	01_ola_1	105	5	0.047619047619047616
07006	02_interola_1	77	11	0.14285714285714285
07006	03_ola_2	154	35	0.22727272727272727
07006	04_interola_2	77	126	1.6363636363636365
07006	05_ola_3	126	93	0.7380952380952381
